OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
,,,,,13   Aufwendungen für aktives Personal,-228720.56,-243310.24,-259040.36,-256082.4,-15730.12,2957.96
,,,,,14   Aufwendungen für Versorgung,-19952.33,-29171.2,-27920.16,-30544.44,1251.04,-2624.28
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-88097.23,-43000,-40000,-40000,3000, -      
,,,,,16   Abschreibungen,-4583.23,-4580,-4415,-4119,165,296
,,,,,18   Transferaufwendungen,-40347.27,-61000,-56000,-56000,5000, -      
,,,,,19   sonstige ordentliche Aufwendungen,-37010.76,-35235.52,-35461,-35590.48,-225.48,-129.48
,,,,,24   außerordentliche Aufwendungen,-12559.27, -      , -      , -      , -      , -      
,,,Ertrag,,,46909.31,65000,73223.52,62017.08,8223.52,-11206.44
,,,,nein,,46909.31,65000,73223.52,62017.08,8223.52,-11206.44
,,,,,  6   privatrechtliche Entgelte,42392.55,65000,60000,60000,-5000, -      
,,,,,11   sonstige ordentliche Erträge,4516.76, -      ,13223.52,2017.08,13223.52,-11206.44
,1.100.1.1.1.02  Verwaltungs- und Ratskoordination,,,,,-3022819.75,-3062410.89,-3026398.89,-3194466.92,36012,-168068.03
,,1.100.1.1.1.02.01  Verwaltungsführung,,,,-2643722.55,-2669450.72,-2629176.29,-2761903.6,40274.43,-132727.31
,,,Aufwand,,,-2687146.49,-2696950.72,-2714827.33,-2799395.52,-17876.61,-84568.19
,,,,nein,,-2687146.49,-2696950.72,-2714827.33,-2799395.52,-17876.61,-84568.19
,,,,,13   Aufwendungen für aktives Personal,-876617.9,-929727.32,-926630.93,-969523.48,3096.39,-42892.55
,,,,,14   Aufwendungen für Versorgung,-867621.13,-843380.8,-855647.92,-889689.84,-12267.12,-34041.92
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-21144.8,-46600,-42500,-42500,4100, -      
,,,,,16   Abschreibungen,-19020.84,-15441.96,-13542,-12094,1899.96,1448
,,,,,18   Transferaufwendungen,-1308.79, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-835579.24,-861800.64,-876506.48,-885588.2,-14705.84,-9081.72
,,,,,24   außerordentliche Aufwendungen,-65853.79, -      , -      , -      , -      , -      
,,,Ertrag,,,43423.94,27500,85651.04,37491.92,58151.04,-48159.12
,,,,nein,,43423.94,27500,85651.04,37491.92,58151.04,-48159.12
,,,,,  2   Zuwendungen und allgemeine Umlagen,7500,7500,7500,7500, -      , -      
,,,,,  6   privatrechtliche Entgelte,12367.42,20000,20000,20000, -      , -      
,,,,,11   sonstige ordentliche Erträge,23306.12, -      ,58151.04,9991.92,58151.04,-48159.12
,,,,,23   außerordentliche Erträge,250.4, -      , -      , -      , -      , -      
,,1.100.1.1.1.02.02  Bürgervereine und  -foren,,,,-189548.7,-196480.13,-198611.4,-216281.76,-2131.27,-17670.36
,,,Aufwand,,,-193834.15,-196480.13,-209035.92,-217923.6,-12555.79,-8887.68
,,,,nein,,-193834.15,-196480.13,-209035.92,-217923.6,-12555.79,-8887.68
,,,,,13   Aufwendungen für aktives Personal,-155880.51,-165799.2,-179175.36,-183925.84,-13376.16,-4750.48
,,,,,14   Aufwendungen für Versorgung,-18930.49,-23504.41,-22010.64,-24861.92,1493.77,-2851.28
,,,,,19   sonstige ordentliche Aufwendungen,-7107.11,-7176.52,-7849.92,-9135.84,-673.4,-1285.92
,,,,,24   außerordentliche Aufwendungen,-11916.04, -      , -      , -      , -      , -      
,,,Ertrag,,,4285.45, -      ,10424.52,1641.84,10424.52,-8782.68
,,,,nein,,4285.45, -      ,10424.52,1641.84,10424.52,-8782.68
,,,,,11   sonstige ordentliche Erträge,4285.45, -      ,10424.52,1641.84,10424.52,-8782.68
,,"1.100.1.1.1.02.03  pol./int. Gremienbetr., Ratskoordination",,,,-189548.5,-196480.04,-198611.2,-216281.56,-2131.16,-17670.36
,,,Aufwand,,,-193833.94,-196480.04,-209035.72,-217923.4,-12555.68,-8887.68
,,,,nein,,-193833.94,-196480.04,-209035.72,-217923.4,-12555.68,-8887.68
,,,,,13   Aufwendungen für aktives Personal,-155880.41,-165799.16,-179175.32,-183925.84,-13376.16,-4750.52
,,,,,14   Aufwendungen für Versorgung,-18930.45,-23504.4,-22010.6,-24861.8,1493.8,-2851.2
,,,,,19   sonstige ordentliche Aufwendungen,-7107.04,-7176.48,-7849.8,-9135.76,-673.32,-1285.96
,,,,,24   außerordentliche Aufwendungen,-11916.04, -      , -      , -      , -      , -      
,,,Ertrag,,,4285.44, -      ,10424.52,1641.84,10424.52,-8782.68
,,,,nein,,4285.44, -      ,10424.52,1641.84,10424.52,-8782.68
,,,,,11   sonstige ordentliche Erträge,4285.44, -      ,10424.52,1641.84,10424.52,-8782.68
,1.100.1.1.1.03  Fraktionsgeschäftsstellen,,,,,-633029.49,-642794.96,-600486.8,-610012.84,42308.16,-9526.04
,,1.100.1.1.1.03.01  CDU-Fraktion,,,,-145768.9,-147666.16,-154176.12,-156884.16,-6509.96,-2708.04
,,,Aufwand,,,-145768.9,-147666.16,-154176.12,-156884.16,-6509.96,-2708.04
,,,,nein,,-145768.9,-147666.16,-154176.12,-156884.16,-6509.96,-2708.04
,,,,,13   Aufwendungen für aktives Personal,-34178.51,-34832.08,-37228.24,-38235.92,-2396.16,-1007.68
,,,,,19   sonstige ordentliche Aufwendungen,-111590.39,-112834.08,-116947.88,-118648.24,-4113.8,-1700.36
,,1.100.1.1.1.03.02  SPD-Fraktion,,,,-149555.3,-150235.28,-152500,-155500,-2264.72,-3000
,,,Aufwand,,,-149555.3,-150235.28,-152500,-155500,-2264.72,-3000
,,,,nein,,-149555.3,-150235.28,-152500,-155500,-2264.72,-3000
,,,,,13   Aufwendungen für aktives Personal,-37258.96,-35900, -      , -      ,35900, -      
,,,,,19   sonstige ordentliche Aufwendungen,-112296.34,-114335.28,-152500,-155500,-38164.72,-3000
,,1.100.1.1.1.03.03  F.D.P.-Fraktion,,,,-75290.46,-76127.6,-78231.68,-79640.92,-2104.08,-1409.24
,,,Aufwand,,,-75290.46,-76127.6,-78231.68,-79640.92,-2104.08,-1409.24
,,,,nein,,-75290.46,-76127.6,-78231.68,-79640.92,-2104.08,-1409.24
,,,,,13   Aufwendungen für aktives Personal,-42372.68,-42985.6,-44674.2,-45783.08,-1688.6,-1108.88
,,,,,19   sonstige ordentliche Aufwendungen,-32917.78,-33142,-33557.48,-33857.84,-415.48,-300.36
,,1.100.1.1.1.03.04  Fraktion Die Grünen,,,,-139010.64,-139965.92,-143879,-144987.76,-3913.08,-1108.76
,,,Aufwand,,,-139010.64,-139965.92,-143879,-144987.76,-3913.08,-1108.76
,,,,nein,,-139010.64,-139965.92,-143879,-144987.76,-3913.08,-1108.76
,,,,,13   Aufwendungen für aktives Personal,-110977.75,-111755.04,-116326.6,-117437.04,-4571.56,-1110.44
,,,,,19   sonstige ordentliche Aufwendungen,-28032.89,-28210.88,-27552.4,-27550.72,658.48,1.68
,,1.100.1.1.1.03.05  Gruppe UWG/Piraten,,,,-63672.12,-64200,-67200,-68500,-3000,-1300
,,,Aufwand,,,-63672.12,-64200,-67200,-68500,-3000,-1300
,,,,nein,,-63672.12,-64200,-67200,-68500,-3000,-1300
,,,,,19   sonstige ordentliche Aufwendungen,-63672.12,-64200,-67200,-68500,-3000,-1300
,,1.100.1.1.1.03.06  Fraktion Die Linke,,,,-59732.07,-64600,-4500,-4500,60100, -      
,,,Aufwand,,,-64021.8,-64600,-4500,-4500,60100, -      
,,,,nein,,-64021.8,-64600,-4500,-4500,60100, -      
,,,,,19   sonstige ordentliche Aufwendungen,-64021.8,-64600,-4500,-4500,60100, -      
,,,Ertrag,,,4289.73, -      , -      , -      , -      , -      
,,,,nein,,4289.73, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,4289.73, -      , -      , -      , -      , -      
,1.100.1.1.1.46  Strategische Stadtentwicklung,,,,, -      ,-485523.57,-455525.56,-432812.2,29998.01,22713.36
,,1.100.1.1.1.46.01  konzeptionelle Stadtentwicklung,,,, -      ,-154689.4,-152110.2,-143024.92,2579.2,9085.28
,,,Aufwand,,, -      ,-154689.4,-155796.6,-143515.96,-1107.2,12280.64
,,,,nein,, -      ,-154689.4,-155796.6,-143515.96,-1107.2,12280.64
,,,,,13   Aufwendungen für aktives Personal, -      ,-98051.04,-102891.12,-92626.24,-4840.08,10264.88
,,,,,14   Aufwendungen für Versorgung, -      ,-12131.28,-7783.44,-7436.28,4347.84,347.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-21460,-21160,-21160,300, -      
,,,,,16   Abschreibungen, -      ,-1496,-847.6,-718.36,648.4,129.24
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-21551.08,-23114.44,-21575.08,-1563.36,1539.36
,,,Ertrag,,, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,,,nein,, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,,,,11   sonstige ordentliche Erträge, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,1.100.1.1.1.46.02  Regionale Kooperationen,,,, -      ,-258089.4,-233810.2,-224724.92,24279.2,9085.28
,,,Aufwand,,, -      ,-258089.4,-237496.6,-225215.96,20592.8,12280.64
,,,,nein,, -      ,-258089.4,-237496.6,-225215.96,20592.8,12280.64
,,,,,13   Aufwendungen für aktives Personal, -      ,-98051.04,-102891.12,-92626.24,-4840.08,10264.88
,,,,,14   Aufwendungen für Versorgung, -      ,-12131.28,-7783.44,-7436.28,4347.84,347.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-38760,-43960,-43960,-5200, -      
,,,,,16   Abschreibungen, -      ,-1496,-847.6,-718.36,648.4,129.24
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-107651.08,-82014.44,-80475.08,25636.64,1539.36
,,,Ertrag,,, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,,,nein,, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,,,,11   sonstige ordentliche Erträge, -      , -      ,3686.4,491.04,3686.4,-3195.36
,,1.100.1.1.1.46.03  Lokale Agenda,,,, -      ,-72744.77,-69605.16,-65062.36,3139.61,4542.8
,,,Aufwand,,, -      ,-72744.77,-71448.24,-65308,1296.53,6140.24
,,,,nein,, -      ,-72744.77,-71448.24,-65308,1296.53,6140.24
,,,,,13   Aufwendungen für aktives Personal, -      ,-49025.64,-51445.44,-46313.04,-2419.8,5132.4
,,,,,14   Aufwendungen für Versorgung, -      ,-6065.53,-3891.72,-3718.08,2173.81,173.64
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-7080,-5280,-5280,1800, -      
,,,,,16   Abschreibungen, -      ,-748,-423.8,-359.28,324.2,64.52
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-9825.6,-10407.28,-9637.6,-581.68,769.68
,,,Ertrag,,, -      , -      ,1843.08,245.64,1843.08,-1597.44
,,,,nein,, -      , -      ,1843.08,245.64,1843.08,-1597.44
,,,,,11   sonstige ordentliche Erträge, -      , -      ,1843.08,245.64,1843.08,-1597.44
,1.100.1.2.1.04  Statistik,,,,, -      ,-239490.36,-195560,-180318.24,43930.36,15241.76
,,1.100.1.2.1.04.01  Statistik,,,, -      ,-239490.36,-195560,-180318.24,43930.36,15241.76
,,,Aufwand,,, -      ,-241708.08,-199617.08,-180833.52,42091,18783.56
,,,,nein,, -      ,-241708.08,-199617.08,-180833.52,42091,18783.56
,,,,,13   Aufwendungen für aktives Personal, -      ,-162761.88,-161240.6,-147347.88,1521.28,13892.72
,,,,,14   Aufwendungen für Versorgung, -      ,-17233.8,-8566.24,-7802.88,8667.56,763.36
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-2100,-2100,-2100, -      , -      
,,,,,16   Abschreibungen, -      ,-3860,-1819, -      ,2041,1819
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-55752.4,-25891.24,-23582.76,29861.16,2308.48
,,,Ertrag,,, -      ,2217.72,4057.08,515.28,1839.36,-3541.8
,,,,nein,, -      ,2217.72,4057.08,515.28,1839.36,-3541.8
,,,,,11   sonstige ordentliche Erträge, -      , -      ,4057.08,515.28,4057.08,-3541.8
,,,,,14   Aufwendungen für Versorgung, -      ,2217.72, -      , -      ,-2217.72, -      
,1.100.1.2.2.10  Ordnungsangelegenheiten Ref.010,,,,, -      , -      ,-106190.4,-105402.24,-106190.4,788.16
,,1.100.1.2.2.10.01  Kommunale Kriminalprävention Ref.010,,,, -      , -      ,-106190.4,-105402.24,-106190.4,788.16
,,,Aufwand,,, -      , -      ,-106303.68,-105402.24,-106303.68,901.44
,,,,nein,, -      , -      ,-106303.68,-105402.24,-106303.68,901.44
,,,,,13   Aufwendungen für aktives Personal, -      , -      ,-102734.96,-102457.04,-102734.96,277.92
,,,,,14   Aufwendungen für Versorgung, -      , -      ,-239.16, -      ,-239.16,239.16
,,,,,19   sonstige ordentliche Aufwendungen, -      , -      ,-3329.56,-2945.2,-3329.56,384.36
,,,Ertrag,,, -      , -      ,113.28, -      ,113.28,-113.28
,,,,nein,, -      , -      ,113.28, -      ,113.28,-113.28
,,,,,11   sonstige ordentliche Erträge, -      , -      ,113.28, -      ,113.28,-113.28
(10) FB Personal und Organisation,,,,,,-6265961.51,-6800396.01,-6622846.49,-6945335.27,177549.52,-322488.78
,1.100.1.1.1.04  Organisations- und Steuerungsberatung,,,,,-437231.4,-491111.46,-456824.64,-473722.03,34286.82,-16897.39
,,1.100.1.1.1.04.01  Handlungsrichtlinien z. Orga.u.Steuerung,,,,-250292.73,-267876.92,-232489.32,-256432.63,35387.6,-23943.31
,,,Aufwand,,,-265669.21,-268499.32,-270332.16,-262724.23,-1832.84,7607.93
,,,,nein,,-265669.21,-268499.32,-270332.16,-262724.23,-1832.84,7607.93
,,,,,13   Aufwendungen für aktives Personal,-141415.05,-163357.12,-169855.56,-158553.24,-6498.44,11302.32
,,,,,14   Aufwendungen für Versorgung,-30485.23,-45502.44,-41168.4,-44861.47,4334.04,-3693.07
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-15692.57,-20063.96,-20063.96,-20063.96, -      , -      
,,,,,16   Abschreibungen,-1361.19,-600,-200.04,-200.04,399.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-39034.03,-38975.8,-39044.2,-39045.52,-68.4,-1.32
,,,,,24   außerordentliche Aufwendungen,-37681.14, -      , -      , -      , -      , -      
,,,Ertrag,,,15376.48,622.4,37842.84,6291.6,37220.44,-31551.24
,,,,nein,,15376.48,622.4,37842.84,6291.6,37220.44,-31551.24
,,,,,  3   Auflösungserträge aus Sonderposten,631.45,622.4,629.4,629.4,7, -      
,,,,,  6   privatrechtliche Entgelte,1193.53, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,13551.5, -      ,37213.44,5662.2,37213.44,-31551.24
,,1.100.1.1.1.04.02  Orga.Beratung der FB/ Ämter/ Referate,,,,-186938.67,-223234.54,-224335.32,-217289.4,-1100.78,7045.92
,,,Aufwand,,,-187199.36,-223236.94,-225006.36,-217395.6,-1769.42,7610.76
,,,,nein,,-187199.36,-223236.94,-225006.36,-217395.6,-1769.42,7610.76
,,,,,13   Aufwendungen für aktives Personal,-141414.97,-163357.08,-169855.56,-158553.12,-6498.48,11302.44
,,,,,14   Aufwendungen für Versorgung,-30485.19,-45502.42,-41168.28,-44861.4,4334.14,-3693.12
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-53.27,-63.96,-63.96,-63.96, -      , -      
,,,,,16   Abschreibungen,-517.56,-600,-200.04,-200.04,399.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-14030.9,-13713.48,-13718.52,-13717.08,-5.04,1.44
,,,,,24   außerordentliche Aufwendungen,-697.47, -      , -      , -      , -      , -      
,,,Ertrag,,,260.69,2.4,671.04,106.2,668.64,-564.84
,,,,nein,,260.69,2.4,671.04,106.2,668.64,-564.84
,,,,,  3   Auflösungserträge aus Sonderposten,4.32,2.4,2.4,2.4, -      , -      
,,,,,  6   privatrechtliche Entgelte,5.53, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,250.84, -      ,668.64,103.8,668.64,-564.84
,1.100.1.1.1.05  Informationstechnik,,,,,-1734213.29,-2203995.48,-2152053.72,-2245977.68,51941.76,-93923.96
,,1.100.1.1.1.05.01  LV Informationstechnik Service ab 2016,,,,-627145,-1061382.04, -      , -      ,1061382.04, -      
,,,Aufwand,,,-627470.87,-1061385.64, -      , -      ,1061385.64, -      
,,,,nein,,-627470.87,-1061385.64, -      , -      ,1061385.64, -      
,,,,,13   Aufwendungen für aktives Personal,-447514.06,-696150.4, -      , -      ,696150.4, -      
,,,,,14   Aufwendungen für Versorgung,-1385.05,-2553.12, -      , -      ,2553.12, -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-112.88,-23084, -      , -      ,23084, -      
,,,,,16   Abschreibungen,-56473.54,-97449.6, -      , -      ,97449.6, -      
,,,,,19   sonstige ordentliche Aufwendungen,-120061.99,-242148.52, -      , -      ,242148.52, -      
,,,,,24   außerordentliche Aufwendungen,-1923.35, -      , -      , -      , -      , -      
,,,Ertrag,,,325.87,3.6, -      , -      ,-3.6, -      
,,,,nein,,325.87,3.6, -      , -      ,-3.6, -      
,,,,,  3   Auflösungserträge aus Sonderposten,5.4,3.6, -      , -      ,-3.6, -      
,,,,,  6   privatrechtliche Entgelte,6.92, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,313.55, -      , -      , -      , -      , -      
,,1.100.1.1.1.05.02  LV Informationstechnik Steuerung ab 2016,,,,-515301.86,-601178.36, -      , -      ,601178.36, -      
,,,Aufwand,,,-596146.03,-758849.96, -      , -      ,758849.96, -      
,,,,nein,,-596146.03,-758849.96, -      , -      ,758849.96, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,-602.5, -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-286046.57,-339614.6, -      , -      ,339614.6, -      
,,,,,14   Aufwendungen für Versorgung,-18548.6,-54500.04, -      , -      ,54500.04, -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-69405.7,-12172.08, -      , -      ,12172.08, -      
,,,,,16   Abschreibungen,-63355.56,-74950.4, -      , -      ,74950.4, -      
,,,,,19   sonstige ordentliche Aufwendungen,-145048.64,-277612.84, -      , -      ,277612.84, -      
,,,,,24   außerordentliche Aufwendungen,-13138.46, -      , -      , -      , -      , -      
,,,Ertrag,,,80844.17,157671.6, -      , -      ,-157671.6, -      
,,,,nein,,80844.17,157671.6, -      , -      ,-157671.6, -      
,,,,,  3   Auflösungserträge aus Sonderposten,10.8,6, -      , -      ,-6, -      
,,,,,  6   privatrechtliche Entgelte,13.84, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,76946.48,151200, -      , -      ,-151200, -      
,,,,,11   sonstige ordentliche Erträge,4461.53, -      , -      , -      , -      , -      
,,,,,14   Aufwendungen für Versorgung,-1159.68,6465.6, -      , -      ,-6465.6, -      
,,,,,19   sonstige ordentliche Aufwendungen,571.2, -      , -      , -      , -      , -      
,,1.100.1.1.1.05.03  LV Dokumentenmanagement ab 2016,,,,-591766.43,-541435.08, -      , -      ,541435.08, -      
,,,Aufwand,,,-594941.49,-541438.08, -      , -      ,541438.08, -      
,,,,nein,,-594941.49,-541438.08, -      , -      ,541438.08, -      
,,,,,13   Aufwendungen für aktives Personal,-238537.78,-126926.24, -      , -      ,126926.24, -      
,,,,,14   Aufwendungen für Versorgung,-13971.07,-2127.6, -      , -      ,2127.6, -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-116387.2,-394380.04, -      , -      ,394380.04, -      
,,,,,16   Abschreibungen,-42200.09,-750, -      , -      ,750, -      
,,,,,19   sonstige ordentliche Aufwendungen,-175051.1,-17254.2, -      , -      ,17254.2, -      
,,,,,24   außerordentliche Aufwendungen,-8794.25, -      , -      , -      , -      , -      
,,,Ertrag,,,3175.06,3, -      , -      ,-3, -      
,,,,nein,,3175.06,3, -      , -      ,-3, -      
,,,,,  3   Auflösungserträge aus Sonderposten,5.4,3, -      , -      ,-3, -      
,,,,,  6   privatrechtliche Entgelte,6.92, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,3162.74, -      , -      , -      , -      , -      
,,1.100.1.1.1.05.04  Informationstechnik NEU ab 2016,,,, -      , -      ,-2152053.72,-2245977.68,-2152053.72,-93923.96
,,,Aufwand,,, -      , -      ,-2450437.88,-2530520.72,-2450437.88,-80082.84
,,,,nein,, -      , -      ,-2450437.88,-2530520.72,-2450437.88,-80082.84
,,,,,13   Aufwendungen für aktives Personal, -      , -      ,-1468369.72,-1435755.72,-1468369.72,32614
,,,,,14   Aufwendungen für Versorgung, -      , -      ,-48440.52,-52567.96,-48440.52,-4127.44
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      , -      ,-335.76,-335.76,-335.76, -      
,,,,,16   Abschreibungen, -      , -      ,-149403.4,-201126.56,-149403.4,-51723.16
,,,,,19   sonstige ordentliche Aufwendungen, -      , -      ,-783888.48,-840734.72,-783888.48,-56846.24
,,,Ertrag,,, -      , -      ,298384.16,284543.04,298384.16,-13841.12
,,,,nein,, -      , -      ,298384.16,284543.04,298384.16,-13841.12
,,,,,  3   Auflösungserträge aus Sonderposten, -      , -      ,12.72,12.72,12.72, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen, -      , -      ,278300,281400,278300,3100
,,,,,11   sonstige ordentliche Erträge, -      , -      ,20018.28,3054,20018.28,-16964.28
,,,,,16   Abschreibungen, -      , -      ,53.16,76.32,53.16,23.16
,1.100.1.1.1.06  Personalentwicklung,,,,,-427633.92,-421328.32,-532122.76,-570969.04,-110794.44,-38846.28
,,1.100.1.1.1.06.01  Vital,,,,-33041.9,-33538.76,-41147.72,-41651.36,-7608.96,-503.64
,,,Aufwand,,,-33694.89,-33539.36,-41569.76,-41716.76,-8030.4,-147
,,,,nein,,-33694.89,-33539.36,-41569.76,-41716.76,-8030.4,-147
,,,,,13   Aufwendungen für aktives Personal,-23027.56,-17954.88,-25861.68,-25910.04,-7906.8,-48.36
,,,,,14   Aufwendungen für Versorgung,-2873.6,-975.36,-1183.8,-1282.44,-208.44,-98.64
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-2309.9,-11015.96,-11015.96,-11015.96, -      , -      
,,,,,16   Abschreibungen,-129.38,-150,-50.04,-50.04,99.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-3545.62,-3443.16,-3458.28,-3458.28,-15.12, -      
,,,,,24   außerordentliche Aufwendungen,-1808.83, -      , -      , -      , -      , -      
,,,Ertrag,,,652.99,0.6,422.04,65.4,421.44,-356.64
,,,,nein,,652.99,0.6,422.04,65.4,421.44,-356.64
,,,,,  3   Auflösungserträge aus Sonderposten,1.08,0.6,0.6,0.6, -      , -      
,,,,,  6   privatrechtliche Entgelte,1.38, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,650.53, -      ,421.44,64.8,421.44,-356.64
,,1.100.1.1.1.06.02  Leistungsorientierte Bezahlung,,,,-66114.82,-46410.4,-64464,-95947.04,-18053.6,-31483.04
,,,Aufwand,,,-67649.52,-46411,-65267.4,-96070.76,-18856.4,-30803.36
,,,,nein,,-67649.52,-46411,-65267.4,-96070.76,-18856.4,-30803.36
,,,,,13   Aufwendungen für aktives Personal,-50885.19,-40979.32,-59711.04,-60337.88,-18731.72,-626.84
,,,,,14   Aufwendungen für Versorgung,-6768.5,-1800.24,-1989,-2165.16,-188.76,-176.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-2066.72,-15.96,-15.96,-30015.96, -      ,-30000
,,,,,16   Abschreibungen,-129.38,-150,-50.04,-50.04,99.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-3539.2,-3465.48,-3501.36,-3501.72,-35.88,-0.36
,,,,,24   außerordentliche Aufwendungen,-4260.53, -      , -      , -      , -      , -      
,,,Ertrag,,,1534.7,0.6,803.4,123.72,802.8,-679.68
,,,,nein,,1534.7,0.6,803.4,123.72,802.8,-679.68
,,,,,  3   Auflösungserträge aus Sonderposten,1.08,0.6,0.6,0.6, -      , -      
,,,,,  6   privatrechtliche Entgelte,1.38, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,1532.24, -      ,802.8,123.12,802.8,-679.68
,,1.100.1.1.1.06.03  Führungskräfte- Qualität,,,,-155304.57,-163531,-198321.04,-200484.72,-34790.04,-2163.68
,,,Aufwand,,,-158085.84,-163532.8,-199841.32,-200719.8,-36308.52,-878.48
,,,,nein,,-158085.84,-163532.8,-199841.32,-200719.8,-36308.52,-878.48
,,,,,13   Aufwendungen für aktives Personal,-85409.73,-69214.28,-100151.28,-100682,-30937,-530.72
,,,,,14   Aufwendungen für Versorgung,-11217.43,-3476.16,-4088.28,-4436.04,-612.12,-347.76
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-43435.85,-80048,-85048,-85048,-5000, -      
,,,,,16   Abschreibungen,-388.17,-450,-150,-150,300, -      
,,,,,19   sonstige ordentliche Aufwendungen,-10573.71,-10344.36,-10403.76,-10403.76,-59.4, -      
,,,,,24   außerordentliche Aufwendungen,-7060.95, -      , -      , -      , -      , -      
,,,Ertrag,,,2781.27,1.8,1520.28,235.08,1518.48,-1285.2
,,,,nein,,2781.27,1.8,1520.28,235.08,1518.48,-1285.2
