OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist.
(20) FB  Finanzen und Controlling;1.100.1.1.1.43 Rechnungswesen und Sondervermögen;1.100.1.1.1.43.02 Finanzbuchhaltung / Konzernbilanz;19   sonstige ordentliche Aufwendungen;-30000;Aufwand;nein
(61) FB  Städtebau;1.100.5.2.3.02 Bauliche Denkmalpflege;1.100.5.2.3.02.01 Baudenkmal- und Stadtbildpflege;18   Transferaufwendungen;-23600;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.1.2.2.14 Ordnungsbehördlicher Umweltschutz;1.100.1.2.2.14.03 Aufg. Untere Bodenschutzbehörde;15   Aufwendungen für Sach-/Dienstleistungen;-70000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.2.01 Kinder- und Jugendarbeit;1.100.3.6.2.01.07 Internationaler Jugendaustausch/Jugendb.;15   Aufwendungen für Sach-/Dienstleistungen;-9000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.6.1.03 CO2 Reduzierung;1.100.5.6.1.03.01 CO2 Reduzierung;15   Aufwendungen für Sach-/Dienstleistungen;-10500;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.1.2.2.14 Ordnungsbehördlicher Umweltschutz;1.100.1.2.2.14.01 Ordnungsbehördlicher Umweltschutz;15   Aufwendungen für Sach-/Dienstleistungen;-34000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.5.1.02 Biotop- und Flächenmanagement;1.100.5.5.1.02.01 Biotop- und Flächenmanagement;15   Aufwendungen für Sach-/Dienstleistungen;-10000;Aufwand;nein
(62) FB  Geodaten und Verkehrsanlagen;1.100.5.4.1.03 Gemeindestraßen;1.100.5.4.1.03.05 Lichtsignalanlagen;19   sonstige ordentliche Aufwendungen;-8000;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(16) Gleichstellungsbeauftragte;1.100.1.1.1.40 Förd.d. Gleichstellung von Frauen/Männer;1.100.1.1.1.40.01 Förd.d. Gleichstellung von Frauen/Männer;15   Aufwendungen für Sach-/Dienstleistungen;-12876;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.07 Osnabrücker Museumsquartier (FNH/KGM);1.100.2.5.2.07.02 Friedenslabor;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.02 Rettungsdienst Einsätze;15   Aufwendungen für Sach-/Dienstleistungen;-24950;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.5.1.02 Biotop- und Flächenmanagement;1.100.5.5.1.02.01 Biotop- und Flächenmanagement;15   Aufwendungen für Sach-/Dienstleistungen;-75000;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.07 Osnabrücker Museumsquartier (FNH/KGM);1.100.2.5.2.07.02 Friedenslabor;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.07 Osnabrücker Museumsquartier (FNH/KGM);1.100.2.5.2.07.01 Ausstellungen Kunst/ Stadtgeschichte;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.1.2.2.14 Ordnungsbehördlicher Umweltschutz;1.100.1.2.2.14.03 Aufg. Untere Bodenschutzbehörde;15   Aufwendungen für Sach-/Dienstleistungen;-30000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.5.4.01 Naturschutz und Landschaftspflege;1.100.5.5.4.01.01 Naturschutz und Landschaftspflege;15   Aufwendungen für Sach-/Dienstleistungen;-15000;Aufwand;nein
(68) FB  Umwelt und Klimaschutz;1.100.5.1.1.08 Landschafts- und Grünordnungsplanung;1.100.5.1.1.08.01 Landschafts- und Grünordnungsplanung;15   Aufwendungen für Sach-/Dienstleistungen;-3500;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(41) FB  Kultur;1.100.2.5.2.01 Kunsthalle Osnabrück;1.100.2.5.2.01.01 Kunsthalle Dominikanerkirche;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.2.01 Kinder- und Jugendarbeit;1.100.3.6.2.01.07 Internationaler Jugendaustausch/Jugendb.;19   sonstige ordentliche Aufwendungen;-200;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(50) FB  Integration, Soziales und Bürgerengagement;1.100.1.1.1.45 Bürgerservice;1.100.1.1.1.45.02 Freiwilligenagentur;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;2   Zuwendungen und allgemeine Umlagen;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;6   privatrechtliche Entgelte;20000;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;26   Erträge aus int. Leistungsbeziehungen;1006148;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;15   Aufwendungen für Sach-/Dienstleistungen;-105000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;15   Aufwendungen für Sach-/Dienstleistungen;-3238;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-10000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-3000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-40000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-20000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-20000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-51600;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-20000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;27   Aufw. aus int. Leistungsbeziehungen;-487;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;11   sonstige ordentliche Erträge;4900;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;13   Aufwendungen für aktives Personal;-601342;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;14   Aufwendungen für Versorgung;-55581;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;19   sonstige ordentliche Aufwendungen;-117642;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.01 Außenkontakte;16   Abschreibungen;-332;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;6   privatrechtliche Entgelte;60000;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;6   privatrechtliche Entgelte;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;15   Aufwendungen für Sach-/Dienstleistungen;-25000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;15   Aufwendungen für Sach-/Dienstleistungen;-40000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;18   Transferaufwendungen;-20000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;18   Transferaufwendungen;-42100;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;27   Aufw. aus int. Leistungsbeziehungen;-47531;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;11   sonstige ordentliche Erträge;2233;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;13   Aufwendungen für aktives Personal;-235497;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;14   Aufwendungen für Versorgung;-39074;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;19   sonstige ordentliche Aufwendungen;-54814;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.01 Außenkontakte;1.100.1.1.1.01.02 Städtepartnerschaften;16   Abschreibungen;-3635;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.2.10 Ordnungsangelegenheiten Ref.010;1.100.1.2.2.10.01 Kommunale Kriminalprävention Ref.010;27   Aufw. aus int. Leistungsbeziehungen;-9944;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.2.10 Ordnungsangelegenheiten Ref.010;1.100.1.2.2.10.01 Kommunale Kriminalprävention Ref.010;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.2.10 Ordnungsangelegenheiten Ref.010;1.100.1.2.2.10.01 Kommunale Kriminalprävention Ref.010;13   Aufwendungen für aktives Personal;-110770;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.2.10 Ordnungsangelegenheiten Ref.010;1.100.1.2.2.10.01 Kommunale Kriminalprävention Ref.010;14   Aufwendungen für Versorgung;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.2.10 Ordnungsangelegenheiten Ref.010;1.100.1.2.2.10.01 Kommunale Kriminalprävention Ref.010;19   sonstige ordentliche Aufwendungen;-557;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;6   privatrechtliche Entgelte;10000;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;26   Erträge aus int. Leistungsbeziehungen;2850689;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-9200;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-8000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-15000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-7000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-5000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;15   Aufwendungen für Sach-/Dienstleistungen;-5000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;18   Transferaufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-351500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-130900;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-6000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-5000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-10000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-7000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-15000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-20000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-40000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-5000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-15000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-12000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;27   Aufw. aus int. Leistungsbeziehungen;-67800;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;27   Aufw. aus int. Leistungsbeziehungen;-36857;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;27   Aufw. aus int. Leistungsbeziehungen;-15000;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;11   sonstige ordentliche Erträge;13321;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;13   Aufwendungen für aktives Personal;-1213357;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;14   Aufwendungen für Versorgung;-850459;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;19   sonstige ordentliche Aufwendungen;-273908;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;16   Abschreibungen;-6548;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;22   außerordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.01 Verwaltungsführung;23   außerordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;26   Erträge aus int. Leistungsbeziehungen;254579;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;18   Transferaufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;11   sonstige ordentliche Erträge;1348;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;13   Aufwendungen für aktives Personal;-125111;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;14   Aufwendungen für Versorgung;-23588;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.02 Bürgervereine und  -foren;19   sonstige ordentliche Aufwendungen;-8385;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;26   Erträge aus int. Leistungsbeziehungen;253579;Ertrag;ja
